name,category
needhelp,"IT / Digital, Services à la personne"
formi,"Santé, Sport"
qapa,Application mobile
emerton,"Big Data, Digital Marketing / Data Marketing, Stratégie, Transformation"
paris-cola,Restauration
allurion-technologies,Santé
abe,"Application mobile, Design, Marketing / Communication"
simundia,"Formation, Organisation / Management, Ressources humaines"
jooxter,"Application mobile, Objets connectés, SaaS / Cloud Services"
devoteam-g-cloud,"Big Data, Digital, Transformation"
margo-bank,"Banque, FinTech / InsurTech"
zelros,"Assurance, Intelligence artificielle / Machine Learning"
coinhouse,FinTech / InsurTech
germinal,Digital Marketing / Data Marketing
hast,"E-commerce, Mode"
f.-iniciativas,"Organisation / Management, Stratégie"
qonto,FinTech / InsurTech
trustinsoft,Logiciels
m6-publicité,Publicité
flexybeauty,"Cosmétique, SaaS / Cloud Services"
nocrm.io,"IT / Digital, Logiciels, SaaS / Cloud Services"
fleux,"Art de vivre, E-commerce, Luxe"
oodrive,"Big Data, Logiciels, SaaS / Cloud Services"
agendize,"Application mobile, IT / Digital"
ssa-afyneo,"Audit, Organisation / Management, Stratégie, Transformation"
weeby,"E-commerce, IT / Digital"
firstage,"Marketing / Communication, Publicité, Télévision / Production audiovisuelle"
shine,"Application mobile, FinTech / InsurTech"
waykonect,"Automobile, Logiciels"
netdevices,Application mobile
heetch,"Application mobile, Mobilité"
parkopoly,"Automobile, Mobilité"
impala,"Education, Formation"
gatling,"IT / Digital, Logiciels"
welcome-to-the-jungle,"Média, Recrutement"
klanik,"Formation, IT / Digital, Logiciels"
saagie,"Big Data, IT / Digital, Intelligence artificielle / Machine Learning"
notilo-plus,"Big Data, Objets connectés, Robotique"
collector-square,"E-commerce, Joaillerie, Luxe, Mode"
cubyn,"Logistique, Mobilité, SaaS / Cloud Services"
ditto-bank,"Application mobile, Banque"
zcomme,"Marketing / Communication, Ressources humaines"
groupe-enps---webdentiste,"Publicité, Santé"
waycom,Electronique / Télécommunications
onogone,"Application mobile, Digital, Intelligence artificielle / Machine Learning"
influence4you,"Digital, Marketing / Communication, Publicité"
lyreco,E-commerce
sancare,"Big Data, Santé"
imfusio,Transformation
assoconnect,"Logiciels, Social / Associatif"
dracula-technologies,"Energie, Environnement / Développement durable, Objets connectés"
nexeo-groupe,"Banque, Cybersécurité, IT / Digital"
formetris,"Formation, SaaS / Cloud Services"
believe,Musique
seald,"IT / Digital, Logiciels"
neo-nomade,"Application mobile, Immobilier commercial"
dawex,"Big Data, SaaS / Cloud Services"
mappy,"Mobilité, SaaS / Cloud Services"
retailmenot,"E-commerce, Marketing / Communication"
qucit,"Big Data, IT / Digital, Mobilité"
ideagency,"Digital, Digital Marketing / Data Marketing, Stratégie"
learning-tribes,"Formation, Organisation / Management"
pw-consultants,"Organisation / Management, Stratégie"
anaxago,"FinTech / InsurTech, Finance"
synechron-france,"IT / Digital, Transformation"
groupe-canal+,"Publicité, Sport, Télévision / Production audiovisuelle"
mistertemp',Recrutement
zenpark,"Application mobile, Mobilité, Économie collaborative"
fluicity,"Application mobile, Social / Associatif, SocialTech / GreenTech"
traveldoo,"Logiciels, Tourisme"
loisirs-enchères,"E-commerce, Loisirs, Tourisme"
sandro,Mode
taste-distribution,"FoodTech, Grande consommation, Restauration"
kiloutou,Bâtiment / Travaux publics
comatch,Stratégie
ika-conseil,"Application mobile, IT / Digital"
botfuel,"Intelligence artificielle / Machine Learning, Logiciels"
rendement-locatif,"IT / Digital, Immobilier particulier"
mytroopers,Logistique
hosman,Immobilier particulier
mynotary,"Immobilier particulier, Logiciels"
nbs-system,"Cybersécurité, IT / Digital"
nouvelle-vague,"Digital, Marketing / Communication, Stratégie"
ippon,"IT / Digital, Logiciels, SaaS / Cloud Services"
christophe-robin,"Cosmétique, Luxe"
braineet,"IT / Digital, Organisation / Management, SaaS / Cloud Services"
windoo,"Logiciels, Services à la personne, Sport"
frichti,Restauration
lesfurets.com,E-commerce
walnut-algorithms,"FinTech / InsurTech, Finance, Intelligence artificielle / Machine Learning"
lepantalon,"E-commerce, Mode"
launchmetrics,"AdTech  / MarTech, Mode, SaaS / Cloud Services"
happydemics,"Big Data, Marketing / Communication, Publicité"
payplug,"E-commerce, FinTech / InsurTech"
hubside,Application mobile
universign,"Application mobile, SaaS / Cloud Services"
cocoworker,"Application mobile, Social / Associatif"
thinkovery,"EdTech, Formation, Ressources humaines"
fluo,"Application mobile, FinTech / InsurTech"
360-medics,"Application mobile, Santé"
ogilvy-consulting,"Stratégie, Transformation"
maison-sarah-lavoine,"Aménagement / Design, Architecture"
akoya,"Ressources humaines, Stratégie"
magic-makers,"Education, Formation, Logiciels"
quantmetry,"Big Data, Stratégie"
abilways,"Formation, Organisation / Management, Stratégie"
carventura,"Automobile, E-commerce, Économie collaborative"
back-market,"E-commerce, Environnement / Développement durable, Économie collaborative"
freelancerepublik,"Recrutement, Ressources humaines"
airsorted,Immobilier particulier
mericq,Grande consommation
popcarte,"Design, E-commerce"
one-conciergerie,"Application mobile, Organisation / Management, Services à la personne"
garantme,"FinTech / InsurTech, Immobilier particulier"
salesway,"Organisation / Management, Pharmaceutique / Biotechechnologique"
moveecar,"IT / Digital, Mobilité"
100m.io,"Application mobile, FinTech / InsurTech, Finance"
imcas,"Evénementiel, Relations publiques"
getpro,"Recrutement, Ressources humaines"
angarde,"Environnement / Développement durable, Mode"
julhiet-sterwen,"Organisation / Management, Stratégie"
station-w,"Immobilier commercial, Économie collaborative"
use-design,Stratégie
lekiosk,Application mobile
limonetik,FinTech / InsurTech
le-chocolat-des-français,"E-commerce, Epicerie fine"
document-store,"IT / Digital, Logiciels"
deliveroo,"Application mobile, E-commerce, FoodTech"
kalios,"Epicerie fine, Restauration"
neofacto-france,"Blockchain, IT / Digital, Transformation"
lush-|-france,Cosmétique
hellozack,"E-commerce, Electronique / Télécommunications, Environnement / Développement durable"
grenadines,"Immobilier commercial, Marketing / Communication"
lumapps,SaaS / Cloud Services
snark-factory,"Digital Marketing / Data Marketing, IT / Digital, Marketing / Communication"
data-soluce,"Big Data, Bâtiment / Travaux publics, SaaS / Cloud Services"
enderby,"Marketing / Communication, Stratégie"
stanley-robotics,Automobile
liveramp,Big Data
legos,"Electronique / Télécommunications, IT / Digital"
les-raffineurs,"Art de vivre, E-commerce, Mode"
smarthab,"Immobilier particulier, Objets connectés"
gymlib,"Santé, Sport"
nahimic,"Application mobile, Logiciels"
finance-3.1,"Audit, FinTech / InsurTech"
factory-aménagement,Architecture
france-active,"Banque, Environnement / Développement durable, Économie collaborative"
gresham-banque-privée,"Banque, Transaction Services"
sodexo-pass-france,Restauration
wistiki,"Application mobile, Objets connectés"
my-works,"Application mobile, Recrutement"
the-line,"Design, Distribution sélective, Loisirs"
strapi,"Logiciels, SaaS / Cloud Services"
colliers-international-france,"Bâtiment / Travaux publics, Immobilier commercial, Transaction Services"
csa-consulting,"Banque, Organisation / Management, Stratégie"
clevy,"IT / Digital, Organisation / Management"
scallog,"E-commerce, Logistique, Objets connectés"
école-m,Education
green-panda-games,"Application mobile, Jeux vidéos"
innovorder,"Application mobile, FoodTech, SaaS / Cloud Services"
zipjet,"Application mobile, E-commerce, Logistique, Services à la personne"
reezocar,"Automobile, E-commerce"
openip,"Electronique / Télécommunications, IT / Digital"
kamet,"Assurance, FinTech / InsurTech, SaaS / Cloud Services"
clareo,E-commerce
the-moneytizer,AdTech  / MarTech
drivy,"Application mobile, Automobile, Économie collaborative"
aodocs,"Logiciels, SaaS / Cloud Services"
testapic,Application mobile
tripica,"Electronique / Télécommunications, Energie, SaaS / Cloud Services"
planity,"Cosmétique, E-commerce"
diduenjoy,"Big Data, SaaS / Cloud Services"
la-banque-postale,"Banque, Finance"
myskillcamp,Education
pitchy,"Marketing / Communication, SaaS / Cloud Services"
cheerz,"Application mobile, Design, E-commerce"
forepaas,"Big Data, SaaS / Cloud Services"
reelevant,"AdTech  / MarTech, Big Data"
uavia,"Big Data, IT / Digital, Objets connectés"
officeriders,"Immobilier commercial, Économie collaborative"
tinubu-square,"Assurance, FinTech / InsurTech, SaaS / Cloud Services"
darewise-entertainment,Jeux vidéos
tilli,"Mode, Économie collaborative"
klox-entertainement,"Digital, Marketing / Communication, Musique, Sport"
smallable,E-commerce
202-ecommerce,"Digital, E-commerce"
ripple-motion,Application mobile
